stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
69602,"Kirchheimer Str.",8.62656,49.39926,STATION,518091,8626444,49399213,Eppelheim,"Kirchheimer Straße",TRAM;BUS,50
69601,"Kirchheimer Str.",8.62736,49.39979,STATION,518092,8627074,49399770,Eppelheim,"Kirchheimer Straße",TRAM;BUS,50
252506,"Rheinau Bahnhof",8.53626,49.42379,STATION,518329,8536300,49423888,Mannheim,"Rheinau Bahnhof",TRAM;BUS;ON_DEMAND,50
203102,"Friesenheim Ost",8.421054,49.501799,STATION,511063,8421382,49501528,"Ludwigshafen am Rhein","Friesenheim Ost",TRAM;BUS,50
206602,"Berliner Platz",8.45065,49.48049,STATION,511234,8450768,49480565,"Ludwigshafen am Rhein","Berliner Platz",TRAM;BUS;ON_DEMAND,50
207935,"LU Klinikum",8.42103,49.48846,STATION,511133,8423045,49490220,"Ludwigshafen am Rhein",Klinikum,TRAM;BUS,250
203101,"Friesenheim Ost",8.421656,49.501428,STATION,506457,8421427,49501474,"Ludwigshafen am Rhein","Friesenheim Ost",TRAM;BUS,50
252501,"Rheinau Bahnhof",8.536229,49.424327,STATION,518328,8536130,49424068,Mannheim,"Rheinau Bahnhof",TRAM;BUS;ON_DEMAND,50
206608,"Berliner Platz",8.451052,49.479743,STATION,518279,8451092,49479882,"Ludwigshafen am Rhein","Berliner Platz",TRAM;BUS;ON_DEMAND,50
260106,"Im Wohlbühl",8.53024,49.509383,STATION,510195,8530314,49509313,Mannheim,"Vogelstang Im Wohlbühl",BUS,50
260105,"Im Wohlbühl",8.529864,49.509045,STATION,510195,8530314,49509313,Mannheim,"Vogelstang Im Wohlbühl",BUS,50
205306,Ammoniakstraße,8.410357,49.504949,STATION,518101,8410362,49504953,"Ludwigshafen am Rhein","Friesenheim Ammoniakstraße",TRAM;BUS,50
205305,Ammoniakstraße,8.410485,49.505276,STATION,518102,8410496,49505214,"Ludwigshafen am Rhein","Friesenheim Ammoniakstraße",TRAM;BUS,50
851805,"Moll-Gym. 1/Belchens.",8.469382,49.463355,STATION,507939,8469852,49464672,Mannheim,"Lindenhof Pfalzplatz",BUS,150
238206,Amselstraße,8.459138,49.545895,STATION,515111,8459047,49545890,Mannheim,"Sandhofen Amselstraße",BUS,50
238205,Amselstraße,8.458987,49.545907,STATION,515111,8459047,49545890,Mannheim,"Sandhofen Amselstraße",BUS,50
215106,Pettenkoferstraße,8.422367,49.486024,STATION,508952,8422389,49486013,"Ludwigshafen am Rhein",Pettenkoferstraße,BUS;ON_DEMAND,50
215105,Pettenkoferstraße,8.422462,49.486025,STATION,508952,8422389,49486013,"Ludwigshafen am Rhein",Pettenkoferstraße,BUS;ON_DEMAND,50
752005,Walzmühle,8.453902,49.477984,STATION,507003,8453447,49478030,"Ludwigshafen am Rhein",Walzmühle,BUS;ON_DEMAND,50
752006,Walzmühle,8.453142,49.478042,STATION,507003,8453447,49478030,"Ludwigshafen am Rhein",Walzmühle,BUS;ON_DEMAND,50
127901,Tullastr.,8.67972,49.365362,STATION,509345,8679660,49365467,Heidelberg,"Rohrbach Tullastraße",BUS,50
232905,"Mülhauser Straße",8.578117,49.438131,STATION,506428,8578055,49438118,Mannheim,"Friedrichsfeld Mülhauser Straße",BUS,50
248005,August-Bebel-Straße,8.48038,49.4667,STATION,508487,8480154,49466767,Mannheim,"Neckarau August-Bebel-Straße",BUS,50
240506,Jungbuschschule,8.45914,49.495509,STATION,510886,8459191,49495532,Mannheim,Jungbuschschule,BUS,50
114601,Bismarckplatz,8.693199,49.409861,STATION,518146,8693270,49409712,Heidelberg,Bismarckplatz,TRAM;BUS;ON_DEMAND,50
114602,Bismarckplatz,8.692874,49.409373,STATION,518145,8693036,49409640,Heidelberg,Bismarckplatz,TRAM;BUS;ON_DEMAND,50
114606,Bismarckplatz,8.6933,49.40967,STATION,518146,8693270,49409712,Heidelberg,Bismarckplatz,TRAM;BUS;ON_DEMAND,50
114607,Bismarckplatz,8.69285,49.4098,STATION,518145,8693036,49409640,Heidelberg,Bismarckplatz,TRAM;BUS;ON_DEMAND,50
114609,Bismarckplatz,8.692893,49.409732,STATION,518145,8693036,49409640,Heidelberg,Bismarckplatz,TRAM;BUS;ON_DEMAND,50
250305,Holzweg,8.56122,49.45181,STATION,510657,8561210,49451818,Mannheim,"Friedrichsfeld Holzweg",BUS,50
344701,Marktplatz,8.809844,49.437077,STATION,509683,8809860,49437067,"Schönau (Odenwald)",Marktplatz,BUS,50
218606,Heinz-Schifferd.-Str,8.384703,49.506546,STATION,510908,8384706,49506517,Ludwigshaf,"Oggersheim Heinz-Schifferdecker-Straße",BUS,50
218605,Heinz-Schifferd.-Str,8.384702,49.506619,STATION,510908,8384706,49506517,Ludwigshaf,"Oggersheim Heinz-Schifferdecker-Straße",BUS,50
205302,Ammoniakstraße,8.410244,49.505373,STATION,511078,8410218,49505367,"Ludwigshafen am Rhein","Friesenheim Ammoniakstraße",TRAM;BUS,50
205301,Ammoniakstraße,8.41067,49.504922,STATION,507218,8410685,49504917,"Ludwigshafen am Rhein","Friesenheim Ammoniakstraße",TRAM;BUS,50
115501,Feuerbachstr.,8.686481,49.393578,STATION,518156,8685737,49393478,Heidelberg,Feuerbachstraße,BUS,100
115502,Feuerbachstr.,8.686432,49.393502,STATION,518156,8685737,49393478,Heidelberg,Feuerbachstraße,BUS,50
243606,Ludolf-Krehl-Straße,8.49218,49.49722,STATION,508157,8492280,49497249,Mannheim,Ludolf-Krehl-Straße,BUS,50
243605,Ludolf-Krehl-Straße,8.49232,49.49731,STATION,508157,8492280,49497249,Mannheim,Ludolf-Krehl-Straße,BUS,50
266705,"Aufden Ried",8.53785,49.50258,STATION,510734,8537874,49502571,Mannheim,"Wallstadt Auf den Ried",BUS,50
112001,"Am Götzenberg",8.701572,49.372086,STATION,505636,8701477,49372066,Heidelberg,"Boxberg Am Götzenberg",BUS,50
276505,"Wohlgelegen EKZ",8.49948,49.50359,STATION,511194,8500146,49503937,Mannheim,"Wohlgelegen EKZ",BUS,100
253405,Karl-Schwaner-Straße,8.53373,49.419124,STATION,509210,8533586,49419196,Mannheim,"Rheinau Karl-Schwaner-Straße",BUS,50
217305,Kirchenstraße,8.398578,49.519768,STATION,508978,8398532,49519920,"Ludwigshafen am Rhein","Oppau Kirchenstraße",BUS,50
217306,Kirchenstraße,8.398479,49.520014,STATION,508978,8398532,49519920,"Ludwigshafen am Rhein","Oppau Kirchenstraße",BUS,50
